,frame_count,channel,x,y,w,h,br_x,br_y,mean,max,min
91,46,1,385,356,10,36,395,392,1.6277777777777778,51,0
92,47,1,385,356,10,36,395,392,14.037962962962963,243,0
93,47,1,385,356,10,36,395,392,14.037962962962963,243,0
94,48,1,385,356,10,36,395,392,10.51574074074074,173,0
95,48,1,385,356,10,36,395,392,10.51574074074074,173,0
96,49,1,385,356,10,36,395,392,4.988888888888889,54,0
97,49,1,385,356,10,36,395,392,4.988888888888889,54,0
98,50,1,385,356,10,36,395,392,7.383333333333334,48,0
99,50,1,385,356,10,36,395,392,7.383333333333334,48,0
100,51,1,385,356,10,36,395,392,3.2814814814814817,30,0
101,51,1,385,356,10,36,395,392,3.2814814814814817,30,0
102,52,1,385,356,10,36,395,392,5.75,39,0
103,52,1,385,356,10,36,395,392,5.75,39,0
104,53,1,385,356,10,36,395,392,7.783333333333333,160,0
105,53,1,385,356,10,36,395,392,7.783333333333333,160,0
106,54,1,385,356,10,36,395,392,7.907407407407407,152,0
107,54,1,385,356,10,36,395,392,7.907407407407407,152,0
108,55,1,385,356,10,36,395,392,5.92037037037037,39,0
109,55,1,385,356,10,36,395,392,5.92037037037037,39,0
110,56,1,385,356,10,36,395,392,4.912962962962963,31,0
111,56,1,385,356,10,36,395,392,4.912962962962963,31,0
112,57,1,385,356,10,36,395,392,2.6314814814814813,11,0
113,57,1,385,356,10,36,395,392,2.6314814814814813,11,0
114,58,1,385,356,10,36,395,392,8.488888888888889,190,0
115,58,1,385,356,10,36,395,392,8.488888888888889,190,0
116,59,1,385,356,10,36,395,392,8.940740740740742,225,0
117,59,1,385,356,10,36,395,392,8.940740740740742,225,0
118,60,1,385,356,10,36,395,392,11.177777777777777,79,0
119,60,1,385,356,10,36,395,392,11.177777777777777,79,0
120,61,1,385,356,10,36,395,392,13.75925925925926,198,0
121,61,1,385,356,10,36,395,392,13.75925925925926,198,0
122,62,1,385,356,10,36,395,392,14.343518518518518,235,0
123,62,1,385,356,10,36,395,392,14.343518518518518,235,0
124,63,1,385,356,10,36,395,392,13.142592592592592,206,0
125,63,1,385,356,10,36,395,392,13.142592592592592,206,0
126,64,1,385,356,10,36,395,392,14.406481481481482,202,0
127,64,1,385,356,10,36,395,392,14.406481481481482,202,0
128,65,1,385,356,10,36,395,392,7.112037037037037,43,0
129,65,1,385,356,10,36,395,392,7.112037037037037,43,0
130,66,1,385,356,10,36,395,392,5.5,35,0
131,66,1,385,356,10,36,395,392,5.5,35,0
132,67,1,385,356,10,36,395,392,5.333333333333333,33,0
133,67,1,385,356,10,36,395,392,5.333333333333333,33,0
134,68,1,385,356,10,36,395,392,3.2314814814814814,26,0
135,68,1,385,356,10,36,395,392,3.2314814814814814,26,0
136,69,1,385,356,10,36,395,392,1.5777777777777777,13,0
137,69,1,385,356,10,36,395,392,1.5777777777777777,13,0
138,70,1,385,356,10,36,395,392,7.7898148148148145,52,0
139,70,1,385,356,10,36,395,392,7.7898148148148145,52,0
140,71,1,385,356,10,36,395,392,1.7,16,0
141,71,1,385,356,10,36,395,392,1.7,16,0
142,72,1,385,356,10,36,395,392,2.464814814814815,35,0
143,72,1,385,356,10,36,395,392,2.464814814814815,35,0
144,73,1,385,356,10,36,395,392,5.625,44,0
145,73,1,385,356,10,36,395,392,5.625,44,0
146,74,1,385,356,10,36,395,392,5.8314814814814815,48,0
147,74,1,385,356,10,36,395,392,5.8314814814814815,48,0
148,75,1,385,356,10,36,395,392,7.770370370370371,53,0
149,75,1,385,356,10,36,395,392,7.770370370370371,53,0
150,76,1,385,356,10,36,395,392,6.059259259259259,43,0
151,76,1,385,356,10,36,395,392,6.059259259259259,43,0
152,77,1,385,356,10,36,395,392,7.970370370370371,191,0
153,77,1,385,356,10,36,395,392,7.970370370370371,191,0
154,78,1,385,356,10,36,395,392,8.86111111111111,163,0
155,78,1,385,356,10,36,395,392,8.86111111111111,163,0
156,79,1,385,356,10,36,395,392,4.437037037037037,47,0
157,79,1,385,356,10,36,395,392,4.437037037037037,47,0
158,80,1,385,356,10,36,395,392,6.561111111111111,56,0
159,80,1,385,356,10,36,395,392,6.561111111111111,56,0
160,81,1,385,356,10,36,395,392,2.3092592592592593,23,0
161,81,1,385,356,10,36,395,392,2.3092592592592593,23,0
162,82,1,385,356,10,36,395,392,5.092592592592593,36,0
163,82,1,385,356,10,36,395,392,5.092592592592593,36,0
164,83,1,385,356,10,36,395,392,5.987037037037037,41,0
165,83,1,385,356,10,36,395,392,5.987037037037037,41,0
166,84,1,385,356,10,36,395,392,6.2518518518518515,38,0
167,84,1,385,356,10,36,395,392,6.2518518518518515,38,0
168,85,1,385,356,10,36,395,392,5.276851851851852,29,0
169,85,1,385,356,10,36,395,392,5.276851851851852,29,0
170,86,1,385,356,10,36,395,392,3.009259259259259,29,0
171,86,1,385,356,10,36,395,392,3.009259259259259,29,0
172,87,1,385,356,10,36,395,392,4.57962962962963,29,0
173,87,1,385,356,10,36,395,392,4.57962962962963,29,0
174,88,1,385,356,10,36,395,392,4.611111111111111,42,0
175,88,1,385,356,10,36,395,392,4.611111111111111,42,0
176,89,1,385,356,10,36,395,392,6.592592592592593,59,0
177,89,1,385,356,10,36,395,392,6.592592592592593,59,0
178,90,1,385,356,10,36,395,392,6.531481481481482,42,0
179,90,1,385,356,10,36,395,392,6.531481481481482,42,0
180,91,1,385,356,10,36,395,392,8.64074074074074,39,0
181,91,1,385,356,10,36,395,392,8.64074074074074,39,0
182,92,1,385,356,10,36,395,392,9.811111111111112,45,0
183,92,1,385,356,10,36,395,392,9.811111111111112,45,0
184,93,1,385,356,10,36,395,392,3.0148148148148146,30,0
185,93,1,385,356,10,36,395,392,3.0148148148148146,30,0
186,94,1,385,356,10,36,395,392,0.1925925925925926,14,0
187,94,1,385,356,10,36,395,392,0.1925925925925926,14,0
188,95,1,385,356,10,36,395,392,0.0,0,0
189,95,1,385,356,10,36,395,392,0.0,0,0
190,96,1,385,356,10,36,395,392,10.144444444444444,116,0
191,96,1,385,356,10,36,395,392,10.144444444444444,116,0
192,97,1,385,356,10,36,395,392,13.40925925925926,145,0
193,97,1,385,356,10,36,395,392,13.40925925925926,145,0
194,98,1,385,356,10,36,395,392,3.477777777777778,53,0
195,98,1,385,356,10,36,395,392,3.477777777777778,53,0
196,99,1,385,356,10,36,395,392,3.2092592592592593,38,0
197,99,1,385,356,10,36,395,392,3.2092592592592593,38,0
198,100,1,385,356,10,36,395,392,11.636111111111111,160,0
199,100,1,385,356,10,36,395,392,11.636111111111111,160,0
200,101,1,385,356,10,36,395,392,10.216666666666667,181,0
201,101,1,385,356,10,36,395,392,10.216666666666667,181,0
202,102,1,385,356,10,36,395,392,6.625925925925926,45,0
203,102,1,385,356,10,36,395,392,6.625925925925926,45,0
204,103,1,385,356,10,36,395,392,6.061111111111111,35,0
205,103,1,385,356,10,36,395,392,6.061111111111111,35,0
206,104,1,385,356,10,36,395,392,5.375925925925926,28,0
207,104,1,385,356,10,36,395,392,5.375925925925926,28,0
208,105,1,385,356,10,36,395,392,4.405555555555556,45,0
209,105,1,385,356,10,36,395,392,4.405555555555556,45,0
210,106,1,385,356,10,36,395,392,3.446296296296296,50,0
211,106,1,385,356,10,36,395,392,3.446296296296296,50,0
212,107,1,385,356,10,36,395,392,1.2777777777777777,24,0
213,107,1,385,356,10,36,395,392,1.2777777777777777,24,0
214,108,1,385,356,10,36,395,392,2.8777777777777778,32,0
215,108,1,385,356,10,36,395,392,2.8777777777777778,32,0
216,109,1,385,356,10,36,395,392,15.433333333333334,255,0
217,109,1,385,356,10,36,395,392,15.433333333333334,255,0
218,110,1,385,356,10,36,395,392,13.164814814814815,191,0
219,110,1,385,356,10,36,395,392,13.164814814814815,191,0
220,111,1,385,356,10,36,395,392,2.946296296296296,23,0
221,111,1,385,356,10,36,395,392,2.946296296296296,23,0
222,112,1,385,356,10,36,395,392,4.059259259259259,21,0
223,112,1,385,356,10,36,395,392,4.059259259259259,21,0
224,113,1,385,356,10,36,395,392,2.0148148148148146,20,0
225,113,1,385,356,10,36,395,392,2.0148148148148146,20,0
226,114,1,385,356,10,36,395,392,0.0,0,0
227,114,1,385,356,10,36,395,392,0.0,0,0
228,115,1,385,356,10,36,395,392,2.8833333333333333,25,0
229,115,1,385,356,10,36,395,392,2.8833333333333333,25,0
230,116,1,385,356,10,36,395,392,1.2648148148148148,13,0
231,116,1,385,356,10,36,395,392,1.2648148148148148,13,0
232,117,1,385,356,10,36,395,392,0.0,0,0
233,117,1,385,356,10,36,395,392,0.0,0,0
234,118,1,385,356,10,36,395,392,0.0,0,0
235,118,1,385,356,10,36,395,392,0.0,0,0
236,119,1,385,356,10,36,395,392,2.387037037037037,25,0
237,119,1,385,356,10,36,395,392,2.387037037037037,25,0
238,120,1,385,356,10,36,395,392,8.664814814814815,53,0
239,120,1,385,356,10,36,395,392,8.664814814814815,53,0
240,121,1,385,356,10,36,395,392,6.181481481481481,27,0
241,121,1,385,356,10,36,395,392,6.181481481481481,27,0
242,122,1,385,356,10,36,395,392,4.575925925925926,27,0
243,122,1,385,356,10,36,395,392,4.575925925925926,27,0
244,123,1,385,356,10,36,395,392,11.424074074074074,192,0
245,123,1,385,356,10,36,395,392,11.424074074074074,192,0
246,124,1,385,356,10,36,395,392,21.392592592592592,217,0
247,124,1,385,356,10,36,395,392,21.392592592592592,217,0
248,125,1,385,356,10,36,395,392,19.985185185185184,71,0
249,125,1,385,356,10,36,395,392,19.985185185185184,71,0
250,126,1,385,356,10,36,395,392,5.912962962962963,41,0
251,126,1,385,356,10,36,395,392,5.912962962962963,41,0
252,127,1,385,356,10,36,395,392,2.9555555555555557,30,0
253,127,1,385,356,10,36,395,392,2.9555555555555557,30,0
254,128,1,385,356,10,36,395,392,11.946296296296296,255,0
255,128,1,385,356,10,36,395,392,11.946296296296296,255,0
256,129,1,385,356,10,36,395,392,9.346296296296297,174,0
